Age,Job_Type,Education,Education_years,Marital_status,Job_title,Relationship_status,Race,Gender,Capital_gain,Capital_loss,Work_per_week,country,Salary
32, Private, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,1485,40, United-States, >50K
66, Private, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college,10, Divorced, Exec-managerial, Own-child, White, Male,0,0,44, United-States, <=50K
28,Federal-gov, HS-grad,9, Married-civ-spouse,sales, Wife, White, Female,0,0,17, Honduras, <=50K
37, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
17,Private, 12th,8, Never-married,sales, Own-child, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,1902,35, United-States, >50K
24, Private, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,45, United-States, <=50K
21,Federal-gov, Some-college,10, Never-married,priv-house-ser, Own-child, White, Male,0,0,30, United-States, <=50K
21, Private, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,37, United-States, <=50K
38, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
23, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1902,40, United-States, <=50K
26, Private, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,60, United-States, <=50K
39, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, United-States, >50K
56, Private, 11th,7, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
31, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,14344,0,50, United-States, >50K
37, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,3781,0,50, Mexico, <=50K
54, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, England, >50K
64, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
69,Private, HS-grad,9, Married-civ-spouse,sales, Husband, White, Male,0,0,8, United-States, <=50K
40, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
35, Private, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
